GENE PRODUCT DB	GENE PRODUCT ID	QUALIFIER	GO TERM	GO NAME	TAXON ID	GO ASPECT
UniProtKB	A0A0G3HUT6	part_of	GO:0043190	ATP-binding cassette (ABC) transporter complex	83333	C
UniProtKB	A0A0H2UKY9	part_of	GO:0005737	cytoplasm	1403831	C
UniProtKB	A0A0H2UKY9	part_of	GO:0005737	cytoplasm	1403831	C
UniProtKB	A0A0H2UKY9	part_of	GO:0005737	cytoplasm	1403831	C
UniProtKB	A0A0H2UKY9	part_of	GO:0005737	cytoplasm	1403831	C
UniProtKB	A0A0H2UKZ0	part_of	GO:0005737	cytoplasm	1403831	C
UniProtKB	A0A0H2UKZ0	part_of	GO:0005737	cytoplasm	1403831	C
UniProtKB	A0A0H2UKZ0	part_of	GO:0005737	cytoplasm	1403831	C
UniProtKB	A0A0H2UKZ0	part_of	GO:0005737	cytoplasm	1403831	C
UniProtKB	A0A0J9X1X4	part_of	GO:0005737	cytoplasm	1110693	C
UniProtKB	A0A0J9X1X4	part_of	GO:0005737	cytoplasm	1110693	C
UniProtKB	A0A0J9X1X4	part_of	GO:0005737	cytoplasm	1110693	C
UniProtKB	A0A0M3KKV1	part_of	GO:0005737	cytoplasm	316385	C
UniProtKB	A0A0M3KKV1	part_of	GO:0005737	cytoplasm	316385	C
UniProtKB	A0A0M3KKV1	part_of	GO:0005737	cytoplasm	316385	C
UniProtKB	A0A0S1EZS3	part_of	GO:0016021	integral component of membrane	83333	C
UniProtKB	A0A0S1EZS3	part_of	GO:0016021	integral component of membrane	83333	C
UniProtKB	A0A0S1EZS3	part_of	GO:0016020	membrane	83333	C
UniProtKB	A0A0T7C0U2	part_of	GO:0016021	integral component of membrane	83333	C
UniProtKB	A0A0T7C0U2	part_of	GO:0016020	membrane	83333	C
UniProtKB	A0A0T7C0U2	part_of	GO:0016021	integral component of membrane	83333	C
UniProtKB	A0A223DQQ7	part_of	GO:0016020	membrane	511145	C
UniProtKB	A0A223DQQ7	part_of	GO:0016021	integral component of membrane	511145	C
UniProtKB	A0A223DQR7	part_of	GO:0016021	integral component of membrane	511145	C
UniProtKB	A0A223DQR7	part_of	GO:0016020	membrane	511145	C
UniProtKB	A0A223DQR9	part_of	GO:0016020	membrane	511145	C
UniProtKB	A0A223DQR9	part_of	GO:0016021	integral component of membrane	511145	C
UniProtKB	A0A223DQR9	part_of	GO:0016020	membrane	511145	C
UniProtKB	A0A223DQS0	part_of	GO:0016020	membrane	511145	C
UniProtKB	A0A223DQS0	part_of	GO:0016021	integral component of membrane	511145	C
UniProtKB	A0A223DQS7	part_of	GO:0016020	membrane	511145	C
UniProtKB	A0A223DQS7	part_of	GO:0016021	integral component of membrane	511145	C
UniProtKB	A0A223DQS8	part_of	GO:0016020	membrane	511145	C
UniProtKB	A0A223DQS8	part_of	GO:0016020	membrane	511145	C
UniProtKB	A0A223DQS8	part_of	GO:0016021	integral component of membrane	511145	C
UniProtKB	A0A223DQT0	part_of	GO:0016020	membrane	511145	C
UniProtKB	A0A223DQT0	part_of	GO:0016021	integral component of membrane	511145	C
UniProtKB	A0A223DQT2	part_of	GO:0016020	membrane	511145	C
UniProtKB	A0A223DQT2	part_of	GO:0016020	membrane	511145	C
UniProtKB	A0A223DQT2	part_of	GO:0016021	integral component of membrane	511145	C
UniProtKB	A0A223DQT4	part_of	GO:0016021	integral component of membrane	511145	C
UniProtKB	A0A223DQT4	part_of	GO:0016020	membrane	511145	C
UniProtKB	A0A223DQU4	part_of	GO:0016021	integral component of membrane	511145	C
UniProtKB	A0A223DQU4	part_of	GO:0016020	membrane	511145	C
UniProtKB	A0A223DQU6	part_of	GO:0043684	type IV secretion system complex	511145	C
UniProtKB	A0A223DQU7	part_of	GO:0019867	outer membrane	511145	C
